strategy_id,strategy_name,sample_tag,symbol,name,signal_date,entry_date,exit_date,score,return_pct,hold_days,entry_type,exit_reason
box_rebound_v1,箱体反抽 V1,best_return,000632.SZ,三木集团,2025-10-21,2025-10-22,2025-11-18,0.626,89.42307692307692,20.0,box,max_hold
dedicated_trend,趋势专属分支,median_score,000975.SZ,山金国际,2025-09-01,2025-09-02,2025-09-18,0.200441,-4.14312617702447,13.0,trend,trend_exit_ma10
dedicated_trend,趋势专属分支,worst_return,000880.SZ,潍柴重机,2025-08-18,2025-08-19,2025-08-27,0.201523,-11.901840490797555,7.0,trend,trend_exit_ma10
box_rebound_v1,箱体反抽 V1,long_hold,000008.SZ,神州高铁,2025-08-08,2025-08-11,2025-09-05,0.65898,-2.422145328719716,20.0,box,max_hold
both_highwin_highwin_exec,双入口高胜率执行,highest_score,300376.SZ,易事特,2025-08-06,2025-08-07,2025-09-03,0.218515,20.192307692307686,20.0,box,max_hold
box_rebound_v1,箱体反抽 V1,worst_return,300081.SZ,恒信东方,2025-08-06,2025-08-07,2025-08-13,0.619227,-20.430107526881724,5.0,box,gap_stop
dedicated_trend,趋势专属分支,long_hold,300357.SZ,我武生物,2025-07-01,2025-07-02,2025-09-11,0.201523,44.61496870255994,52.0,trend,trend_exit_ma10
cup_v3_handle_prep,杯柄 V3 柄底预备,highest_score,600489.SH,中金黄金,2025-06-12,2025-06-13,2025-06-19,0.696312,-3.4805890227576963,5.0,bottom_staging_handle_prep,trend_exit_ma10
both_highwin_highwin_exec,双入口高胜率执行,worst_return,300849.SZ,锦盛新材,2025-06-04,2025-06-05,2025-06-30,0.213724,-15.630769230769225,18.0,box,gap_stop
box_rebound_v1,箱体反抽 V1,median_score,002625.SZ,光启技术,2025-05-29,2025-05-30,2025-06-03,0.560699,-6.800445930880727,2.0,box,gap_stop
both_highwin_highwin_exec,双入口高胜率执行,median_score,300163.SZ,先锋新材,2025-05-16,2025-05-19,2025-05-23,0.211941,-6.000000000000005,5.0,box,stop_loss
both_highwin_highwin_exec,双入口高胜率执行,long_hold,688186.SH,广大特材,2025-05-07,2025-05-08,2025-06-05,0.21183,-0.8745247148288948,20.0,box,max_hold
both_highwin_highwin_exec,双入口高胜率执行,best_return,301209.SZ,联合化学,2025-04-11,2025-04-14,2025-05-14,0.21183,139.8505603985056,20.0,box,max_hold
dedicated_trend,趋势专属分支,highest_score,603156.SH,养元饮品,2025-04-08,2025-04-09,2025-05-13,0.204424,3.053435114503822,22.0,trend,trend_exit_ma10
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,worst_return,002559.SZ,亚威股份,2025-03-21,2025-03-24,2025-03-25,0.638538,-13.781512403253393,2.0,bottom_staging_handle_breakout_confirm,stop_loss
cup_v2_trend_scored,杯柄 V2 趋势增强,median_score,002008.SZ,大族激光,2025-03-18,2025-03-19,2025-03-26,0.591972,-4.966887417218546,6.0,trend_cup,trend_exit_ma10
dedicated_trend,趋势专属分支,best_return,001212.SZ,中旗新材,2025-03-13,2025-03-14,2025-05-26,0.200015,161.2403100775194,46.0,trend,trend_exit_ma10
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,long_hold,601939.SH,建设银行,2024-06-20,2024-06-21,2024-07-19,0.540696,8.992471590098328,21.0,bottom_staging_handle_breakout_confirm,stop_loss
